accession,year,organism,n_samples,title,replication_class,pooled_keyword,replicate_keyword,published_pmid,summary_excerpt
GSE231764,2023,Mus musculus,12,RNA-seq of heart healthy and heart diseased SCGs and pineal glands,unclear,0,0,37471539,"Disruption of the physiologic sleep-wake cycle and low melatonin levels frequently accompany cardiac disease, yet the underlying mechanism has remained enigmatic. Immunostaining of sympathetic axons in optically cleared pineal glands from humans and mice with cardiac disease revealed their substantial denervation compared to controls. Spatial, single-cell, nuclear, and bulk RNA sequencing traced t"
GSE231765,2023,Mus musculus,2,single-nucleus RNA-seq of healthy (sham) and heart diseased (TAC) SCGs,likely_unreplicated,0,0,,"Disruption of the physiologic sleep-wake cycle and low melatonin levels frequently accompany cardiac disease, yet the underlying mechanism has remained enigmatic. Immunostaining of sympathetic axons in optically cleared pineal glands from humans and mice with cardiac disease revealed their substantial denervation compared to controls. Spatial, single-cell, nuclear, and bulk RNA sequencing traced t"
GSE231766,2023,Mus musculus,4,single-cell RNA-seq of healthy (ctrl) and heart diseased (TAC) SCGs,likely_unreplicated,0,0,37471539,"Disruption of the physiologic sleep-wake cycle and low melatonin levels frequently accompany cardiac disease, yet the underlying mechanism has remained enigmatic. Immunostaining of sympathetic axons in optically cleared pineal glands from humans and mice with cardiac disease revealed their substantial denervation compared to controls. Spatial, single-cell, nuclear, and bulk RNA sequencing traced t"
GSE233223,2023,Mus musculus,1,spatial RNA-seq of SCG,likely_unreplicated,0,0,37471539,"Disruption of the physiologic sleep-wake cycle and low melatonin levels frequently accompany cardiac disease, yet the underlying mechanism has remained enigmatic. Immunostaining of sympathetic axons in optically cleared pineal glands from humans and mice with cardiac disease revealed their substantial denervation compared to controls. Spatial, single-cell, nuclear, and bulk RNA sequencing traced t"
GSE245537,2023,Mus musculus,6,Persistence of homeostatic sleep drive is encoded by plasticity of a thalamic reuniens circuit,unclear,0,0,40536979,Purpose: snRNA-Seq was performed to characterize molecular differences that occur with sleep deprivation in the nucleus reuniens of the thalamus
GSE232164,2024,Mus musculus,12,RNAseq on PYMT cells  treated with TGFB2 and/or BMP4 in 3D matrigel,unclear,0,0,,"Dormancy of disseminated tumor cells in secondary organs leads to late breast cancer-related deaths after relapse. The bone marrow is one of the primary breast cancer metastatic sites and is associated with poor prognosis. Here, we investigated the role of major factors of the bone marrow, BMP4 and TGF?2, in regulating cancer cell dormancy. Unexpectedly, we observed that TGF?2 and BMP4 have a syne"
GSE241165,2024,Mus musculus,1248,Characterizing the gene expression profiles of 4T1 and 4T1.2 cells at different stages of bone metastsis using SMART-Seq2 technology,unclear,0,0,,"Bone metastasis, a frequent and devastating occurrence in breast cancer, affects over 70% of patients over time. Intriguingly, cancer cells residing within the bone microenvironment can serve as ""cancer seeds,"" disseminating to distant organs and driving extensive metastasis. Even post-successful primary tumor removal, quiescent cells can persist, contributing to bone recurrence. This phenomenon u"
GSE243489,2024,Mus musculus,19,Single-nucleus RNA-seq identifies one galanin neuronal subtype in mouse preoptic hypothalamus activated during recovery sleep after sleep deprivation,unclear,0,0,38703367,The preoptic area of hypothalamus plays an important role in sleep homeostasis. We used snRNA-seq to identify neurons involved in homeostatic sleep response.
GSE271816,2024,Mus musculus,10,Single cell RNA sequence data from intrahepatic immune cells of CHB(chronic hepatitis B) mice,replicated,0,1,39349249,"We successfully established a novel immunocompetent mouse model of CHB(chronic hepatitis B)  at the immune-active phase by a simple combination of a Fumarylacetoacetate hydrolase (FAH) knockout mouse, hydrodynamic tail vein injection, and sleeping-beauty transposon system. The employment of single-cell RNA sequence in this model revealed the comprehensive intrahepatic immune landscape in the immun"
GSE275089,2024,Mus musculus,7,"Single cell RNAseq of murine tissues after, sham operation, myocaradial infarction (MI) or MI and sleep fragmentation (SF)",unclear,0,0,39478215,"It remains unclear how sleep influences inflammatory pathways after myocardial infarction (SF). In this study, we relied on established murine models and assessed how sleep fragmentation (SF) alters transcriptional programing in the blood, heart, and brain after MI."
GSE280081,2024,Mus musculus,9,Protective role of aconitate decarboxylase 1 in neuroinflammation-induced dysfunctions of the paraventricular thalamus and sleepiness,unclear,0,0,,"Sleepiness is commonly associated with neuroinflammation; however, the underlying neuroregulatory mechanisms remain unclear. Previous research suggests that the paraventricular thalamus (PVT) plays a crucial role in regulating sleep‐wake dynamics; thus, neurological abnormalities in the PVT may contribute to neuroinflammation-induced sleepiness. To test this hypothesis, we performed electroencepha"
GSE280145,2024,Mus musculus,2,LK immunophenotype cells after sleep deprivation.,likely_unreplicated,0,0,,"To investigate the effects of sleep deprivation on hematopoietic stem cells in the bone marrow and the changes in the bone marrow microenvironment, we constructed a single-cell atlas."
GSE256140,2025,Mus musculus,8,Sleep need driven oscillation of glutamatergic synaptic phenotype,replicated,0,1,39950545,"The response to sleep loss, induced by experimental sleep deprivation (SD), provides insight into the function of sleep. Earlier observations have shown an overall increase in synaptic strength and number of cortical, glutamate, AMPA receptor (AMPAR) synapses in response to SD that is recovered by sleep. However, other aspects of glutamatergic transmission, including NMDA receptor mediated neurotr"
GSE264175,2025,Mus musculus,1,Respiratory viral infection promotes the awakening and outgrowth of dormant metastatic breast cancer cells in lungs,likely_unreplicated,0,0,40739350,Breast cancer is the second most common cancer globally. Most deaths from breast cancer are due to metastatic disease which often follows long periods of clinical dormancy. Understanding the mechanisms that disrupt the quiescence of dormant disseminated cancer cells (DCC) is crucial for addressing metastatic progression. Infection with respiratory viruses (e.g. influenza or SARS-CoV-2) is common a
GSE283582,2025,Mus musculus,6,Heat Shock Factor 1 Governs Sleep-Wake Cycles Across Species [RNA-Seq],unclear,0,0,,"Sleep represents a fundamental biological necessity, yet the molecular mechanisms controlling this essential process remain largely unknown. Sleep disruption marks numerous pathological states, suggesting undiscovered molecular regulators govern this vital function. While studies have mapped gene expression during sleep, the master regulators that translate sleep pressure into sleep behavior have "
GSE283583,2025,Mus musculus,18,Heat Shock Factor 1 Governs Sleep-Wake Cycles Across Species [CUT&RUN],unclear,0,0,,"Sleep represents a fundamental biological necessity, yet the molecular mechanisms controlling this essential process remain largely unknown. Sleep disruption marks numerous pathological states, suggesting undiscovered molecular regulators govern this vital function. While studies have mapped gene expression during sleep, the master regulators that translate sleep pressure into sleep behavior have "
GSE283586,2025,Mus musculus,1,Heat Shock Factor 1 Governs Sleep-Wake Cycles Across Species [snRNA-Seq],likely_unreplicated,0,0,,"Sleep represents a fundamental biological necessity, yet the molecular mechanisms controlling this essential process remain largely unknown. Sleep disruption marks numerous pathological states, suggesting undiscovered molecular regulators govern this vital function. While studies have mapped gene expression during sleep, the master regulators that translate sleep pressure into sleep behavior have "
GSE289089,2025,Mus musculus,4,Small intestinal crypt cell subsets and gene expression in sleep-deprived mice,likely_unreplicated,0,0,,"The level of 5-HT in the intestine of sleep-deprived mice is increased, which induces oxidative stress of intestinal stem cells by acting on HTR4 receptor. Single-cell RNA sequencing was used to analyze the changes in intestinal cell subsets and HTR4 expression after sleep deprivation"
GSE297845,2025,Mus musculus,18,The oncogenic potential of YAP requires Y357 phosphorylation in cholangiocytes but not in hepatocytes,unclear,0,0,41442017,"The transcriptional cofactor yes-associated protein (YAP) functions as a proto-oncogene and a key effector of the canonical Hippo pathway. Phosphorylation at serine 127 (S127) by core Hippo kinases inhibits YAP activity, while phosphorylation at tyrosine 357 (Y357) by SRC-family kinases promotes its activation. YAP activation has been implicated in many cancers, including primary liver cancers (PL"
GSE301350,2025,Mus musculus,2,Cell-Specific Transcriptomic and Mito-Nuclear Imbalance in Lungs Under Intermittent Hypoxia in Adult Male Mice. ,likely_unreplicated,0,1,,"Obstructive sleep apnea and its characteristic intermittent hypoxia (IH) are widely recognized as significant contributors to various pulmonary diseases, including asthma, pulmonary arterial hypertension, fibrosis, and chronic obstructive pulmonary disease. While single-cell RNA sequencing (scRNA-seq) has provided valuable insights into cell-type-specific responses to IH, previous studies have pri"
GSE218624,2026,Mus musculus,2,Single cell RNA-sequencing of the preoptic area of hypothalamus from sleep deprivation and rebound sleep mice,likely_unreplicated,0,0,42321470,"Using single-cell transcriptomics to search for hypothalamic neurons representing and controllling sleep pressure, we identified a group of neurons expressing Gpr139  in the preoptic area (POA) selectively activated during rebound sleep (RS) after sleep deprivation (SD)."
GSE284364,2026,Mus musculus,8,Rest-phase light disrupts hippocampal clock function and impairs object recognition memory,unclear,0,0,,"Light exposure during the circadian rest phase is common during shift work and late-night activity, but its effects on memory remain unclear. Here, we show that 6-day rest-phase light exposure (RPL), which combines mistimed light exposure with enforced wakefulness (EW) during the circadian rest phase, impairs long-term object recognition memory but not short-delay spatial memory. Behavioral testin"
GSE300997,2026,Mus musculus,127,Persistent cortical excitatory neuron dysregulation in adult Chd8 haploinsufficient mice,unclear,0,0,40501938,"CHD8 mutations cause autism spectrum disorder, cognitive deficits, and macrocephaly. Chd8+/- mouse models exhibit macrocephaly and transcriptional pathology, with inconsistent findings regarding neurogenesis, neuron function, and behavior. Via stereology and single nuclei transcriptomics (snRNA-seq), we found increased Chd8+/- cortical volume was not explained by increase in neuron number. Differe"
GSE301511,2026,Mus musculus,5,Persistent cortical excitatory neuron dysregulation in adult Chd8 haploinsufficient mice [snRNA-Seq],pooled_no_replication,1,0,40501938,"CHD8 mutations cause autism spectrum disorder, cognitive deficits, and macrocephaly. Chd8+/- mouse models exhibit macrocephaly and transcriptional pathology, with inconsistent findings regarding neurogenesis, neuron function, and behavior. Via stereology and single nuclei transcriptomics (snRNA-seq), we found increased Chd8+/- cortical volume was not explained by increase in neuron number. Differe"
GSE312840,2026,Mus musculus,2,Dual Orexin Receptor Antagonism with Lemborexant Enhances Microglial Clearance of β-Amyloid in Mice,likely_unreplicated,0,0,42174655,"Background: Sleep regulates brain amyloid-beta (Aβ) levels, and disruption of sleep is a risk factor for Alzheimer’s Disease (AD) and can exacerbate amyloid pathology. The orexin/hypocretin system, a key sleep-wake regulator, represents an emerging therapeutic target in AD, though the effects of FDA-approved dual orexin receptor antagonist drugs (DORAs) on amyloid pathology are unknown. Here, we a"
GSE316894,2026,Mus musculus,6,Spatiotemporal Dynamics of Peripheral Immunity in OSA: A Single-Cell Atlas of the Genioglossus,unclear,0,0,,"We have employed a single cell sequencing approach using 10x Genomics scRNAseq to study genioglossus' immune environment underobstructive sleep apnea (OSA) condition. Genioglossusvis a key therapeutic target for OSA. Our study thus  delineates a distinct spatiotemporal pattern of immune dysregulation, highlighting macrophages response as a potential key player in OSA-associated genioglossus injury"
GSE337822,2026,Mus musculus,20,Transcriptomic Signatures Reveal Overlapping Shared and DistinctYet State-Specific Preoptic Neuronal Ensembles Activated by Anesthesia and Sleep,unclear,0,0,,"General anesthesia and non-rapid-eye-movement (NREM) sleep share overlapping neuronal circuitry within the preoptic area (POA), yet they are fundamentally distinct states. We performed single nucleus RNA sequencing (snRNA-seq) on the POA from adult C57BL/6J mice after 30-minutes of breathing either 1.2% isoflurane in oxygen or an oxygen control. Cell clusters were identified by projecting to the e"
