accession,sample_title,assigned_condition,assignment_rule,libraries_per_condition,in_primary_inventory
GSE312840,LEM,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE301350,NX_mm10_vM23,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE301350,CIH_mm10_vM23,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE264175,Flu_metastasis,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE283586,"Brain, snRNAseq",Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE160581,OM2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE160581,YM2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE160581,OF2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE160581,YF2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Young_2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Young_1,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Aged_3,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Aged_2,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Young_4,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Young_3,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Aged_4,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE188646,Aged_1,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,25dpi_Spatial,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,45dpi_Rep1_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,45dpi_Rep2_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,25dpi_Rep1_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,45dpi_Spatial,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,Naïve_Rep1_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,Naïve_Spatial,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,25dpi_Rep2_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
GSE200642,Naïve_Rep2_scRNA,Excluded: no acute SD/recovery-sleep contrast,keyword match on deposited sample title; condition collapsed to SD / control / recovery; replicate tags ignored for the library count,n/a,no
